smiles,pIC50,MW,LogP,RO5
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.82,369.22,4.26,0.0
O=C(COc1c(F)c(F)c(F)c(F)c1F)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.08,539.26,5.85,2.0
O=C(COc1c(F)c(F)c(F)c(F)c1F)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.11,539.26,5.85,2.0
O=C(COc1ccc(F)cc1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.51,467.3,5.29,1.0
COc1ccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,7.7,380.84,4.37,0.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,7.68,446.91,4.28,0.0
C=C=CCCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O,8.35,413.88,6.15,1.0
C=C=CCCCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1O,7.54,367.84,5.23,1.0
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1,5.7,294.31,2.32,0.0
CN(C)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.6,412.29,4.15,0.0
COc1ccc(NC(=O)/C(C#N)=C/c2ccc(O)c(O)c2)c(OC)c1,5.77,340.34,2.66,0.0
O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1,4.98,371.36,4.96,0.0
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)N1CCc2ccccc21,4.92,306.32,2.59,0.0
